STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indic_il,Income and living conditions indicator,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DE,Germany,2022,,15.5,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DE,Germany,2023,,15.1,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DE,Germany,2024,,16.2,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DE,Germany,2025,,16.7,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2016,,11.9,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2017,,11.7,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2018,,12.8,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2019,,12.5,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2020,,12.1,,b,break in time series,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2021,,12.8,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2022,,12.4,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2023,,12.3,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,DK,Denmark,2024,,11.7,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,,18.1,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,,17.7,,,,,
dataflow,ESTAT:ILC_LI02$DEFAULTVIEW(1.0),"At-risk-of-poverty rate by poverty threshold, age and sex",A,Annual,PC,Percentage,LI_R_MD60,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),F,Females,TOTAL,Total,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,,17.5,,,,,
